Validation_Set,Topics,Alpha,Beta,Coherence
bla,10,auto,auto,0.47126219291614485
bla,12,auto,auto,0.42591733839971124
bla,14,auto,auto,0.4368201893701239
bla,16,auto,auto,0.4577626682886265
bla,18,auto,auto,0.46769737790357435
bla,20,auto,auto,0.4459728071560221
bla,22,auto,auto,0.4444623948172676
bla,24,auto,auto,0.44853976080372454
bla,26,auto,auto,0.4335730939647039
bla,28,auto,auto,0.4448960825146993
bla,30,auto,auto,0.4293399524700964
bla,32,auto,auto,0.4564613878573877
bla,34,auto,auto,0.43383713846336935
bla,36,auto,auto,0.42239514756541446
bla,38,auto,auto,0.404018558633297
bla,40,auto,auto,0.4181793657449161
bla,42,auto,auto,0.4167057696767411
bla,44,auto,auto,0.4151828436370821
bla,46,auto,auto,0.4036070739932995
bla,48,auto,auto,0.41712182646697576
bla,15,auto,auto,0.4576345837725311
bla,17,auto,auto,0.4489310574464644
bla,19,auto,auto,0.4723767080974472

Validation_Set,Topics,Alpha,Beta,Coherence
bla,19,0.01,0.01,0.4969000869602997
bla,19,0.01,0.1,0.4842583513047488
bla,19,0.01,symmetric,0.4913429423528268
bla,19,0.01,auto,0.4913429423528268
bla,19,0.1,0.01,0.4726649163780371
bla,19,0.1,0.1,0.4880448686652244
bla,19,0.1,symmetric,0.4734841569097038
bla,19,0.1,auto,0.4734841569097038
bla,19,symmetric,0.01,0.47621787640893704
bla,19,symmetric,0.1,0.47745467008265124
bla,19,symmetric,symmetric,0.47283345366568447
bla,19,symmetric,auto,0.47283345366568447
bla,19,asymmetric,0.01,0.46175087774887863
bla,19,asymmetric,0.1,0.4488634250540867
bla,19,asymmetric,symmetric,0.4563573845810844
bla,19,asymmetric,auto,0.4563573845810844
bla,19,auto,0.01,0.4786448861129695
bla,19,auto,0.1,0.4851702059153147
bla,19,auto,symmetric,0.4723767080974472
bla,19,auto,auto,0.4723767080974472

Validation_Set,Topics,Alpha,Beta,Coherence
bla,19,0.01,0.01,0.4969000869602997
bla,19,0.01,0.005,0.49813899113192966
bla,19,0.01,0.001,0.495481298594338
bla,19,0.005,0.01,0.48669851091400346
bla,19,0.005,0.005,0.4961605501953763
bla,19,0.005,0.001,0.4977336768021246
bla,19,0.001,0.01,0.4911861869364038
bla,19,0.001,0.005,0.49103759851588064
bla,19,0.001,0.001,0.49190289603908294
